Concept1,Concept2,Concept1_URI_withoutiid,Concept2_URI_withoutiid,internal_ID_for_concept1,internal_ID_for_concept2,Code_Concept1,Code_Concept2,Definition_Concept1,Definition_Concept2,concept1_mandatory_or_not,concept2_mandatory_or_not,Relation_URI,Concept_1_URL,Concept_2_URL
Meningioma Ontology,family history,Meningioma_Ontology,family_history,M_Meningioma_0,M_Meningioma_10,,NCIT_C17726,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",A record of a patient's background regarding health and disease events of blood relatives. A patient's family medical history may be important in diagnosing existing conditions.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,ttp://purl.obolibrary.org/obo/NCIT_C17726
Meningioma Ontology,post operative follow up,Meningioma_Ontology,post_operative_follow_up,M_Meningioma_0,M_Meningioma_11,,C16033,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.","Monitoring a person's health over time after treatment. This includes keeping track of the health of people who participate in a clinical study or clinical trial for a period of time, both during the study and after the study ends.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16033
Meningioma Ontology,presenting symptoms and signs,Meningioma_Ontology,presenting_symptoms_and_signs,M_Meningioma_0,M_Meningioma_12,,NCIT_C100104,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",Objective evidence of disease perceptible to the examining practitioner (sign) and subjective evidence of disease perceived by the patient (symptom).,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,
Meningioma Ontology,surgery,Meningioma_Ontology,surgery,M_Meningioma_0,M_Meningioma_13,,NCIT_C17173,"Meningioma_Ontology is a structured knowledge representation framework that formally organizes and defines the concepts, relationships, attributes, and classifications related to meningiomas â€” tumors arising from the meningothelial (arachnoid cap) cells of the meninges. It provides standardized terms for describing clinical, radiologic, pathologic, molecular, and therapeutic aspects of meningiomas, enabling interoperability across medical datasets, decision-support systems, and research applications.",The branch of medical science that treats disease or injury by operative procedures.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C17173
Meningioma Ontology,Medical History,Meningioma_Ontology,Medical_History,M_Meningioma_0,M_Meningioma_14,,NCIT_C49603,A root class encompassing all concepts in the meningioma ontology. [Source: Custom],"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,http://purl.obolibrary.org/obo/NCIT_C49603
Medical History,Ionizing radiation exposure,Medical_History,Ionizing_radiation_exposure,M_Meningioma_1,M_Meningioma_15,NCIT_C49603,NCIT_C61401,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",The unintentional exposure to radiation of a person.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C61401
Medical History,smoking,Medical_History,smoking,M_Meningioma_1,M_Meningioma_16,NCIT_C49603,SNOMED CT - 77176002,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",The inhalation of smoke from burning tobacco.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,
Medical History,other disease,Medical_History,other_disease,M_Meningioma_1,M_Meningioma_17,NCIT_C49603,NCIT_C2991,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.","Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. The term is often used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C2991
Medical History,BMI,Medical_History,BMI,M_Meningioma_1,M_Meningioma_18,NCIT_C49603,NCIT_C16358,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",An individual's weight in kilograms divided by the square of the height in meters.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C16358
Medical History,hypertension,Medical_History,hypertension,M_Meningioma_1,M_Meningioma_19,NCIT_C49603,NCIT_C3117,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",Blood pressure that is abnormally high.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C3117
Medical History,hypercholesterolemia,Medical_History,hypercholesterolemia,M_Meningioma_1,M_Meningioma_20,NCIT_C49603,NCIT_C37967,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",A laboratory test result indicating an increased amount of cholesterol in the blood.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C37967
Medical History,Diabetes mellitus,Medical_History,Diabetes_mellitus,M_Meningioma_1,M_Meningioma_21,NCIT_C49603,C2985,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",A disease in which the body does not control the amount of glucose (a type of sugar) in the blood and the kidneys make a large amount of urine. This disease occurs when the body does not make enough insulin or does not use it the way it should.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C2985
Medical History,Hypothyroidism,Medical_History,Hypothyroidism,M_Meningioma_1,M_Meningioma_22,NCIT_C49603,NCIT_C26800,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",Abnormally low levels of thyroid hormone.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C26800
Medical History,neurofibromatosis,Medical_History,neurofibromatosis,M_Meningioma_1,M_Meningioma_23,NCIT_C49603,NCIT_C6727,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.","An autosomal dominant hereditary neoplastic syndrome. Two distinct clinicopathological entities are recognized: neurofibromatosis type 1 and neurofibromatosis type 2. Neurofibromatosis type 1 is associated with the presence of cafe-au-lait cutaneous lesions, multiple neurofibromas, malignant peripheral nerve sheath tumors, optic nerve gliomas, and bone lesions. Neurofibromatosis type 2 is associated with the presence of schwannomas, meningiomas, and gliomas.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C6727
Medical History,Renal insufficiency,Medical_History,Renal_insufficiency,M_Meningioma_1,M_Meningioma_24,NCIT_C49603,NCIT_C4376,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",An acute or chronic condition that is characterized by the inability of the kidneys to adequately filter the blood.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C4376
Medical History,Pulmonary disease,Medical_History,Pulmonary_disease,M_Meningioma_1,M_Meningioma_25,NCIT_C49603,NCIT_C3198,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.","A non-neoplastic or neoplastic disorder affecting the lung. Representative examples of non-neoplastic disorders include chronic obstructive pulmonary disease and pneumonia. Representative examples of neoplastic disorders include benign processes (e.g., respiratory papilloma) and malignant processes (e.g., lung carcinoma and metastatic cancer to the lung).",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C3198
Medical History,Coronary heart disease,Medical_History,Coronary_heart_disease,M_Meningioma_1,M_Meningioma_26,NCIT_C49603,NCIT_C26732,"A subject domain utilized for the submission of information encompassing and representing data, vocabulary or records related to subject medical history.",Narrowing of the coronary arteries due to fatty deposits inside the arterial walls. The diagnostic criteria may include documented history of any of the following: documented coronary artery stenosis greater than or equal to 50% (by cardiac catheterization or other modality of direct imaging of the coronary arteries); previous coronary artery bypass surgery (CABG); previous percutaneous coronary intervention (PCI); previous myocardial infarction. (ACC),,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C49603,http://purl.obolibrary.org/obo/NCIT_C26732
Who Grade I,Lympho-plasmacytic Rich,Who_Grade_I,Lympho_plasmacytic_Rich,M_Meningioma_2,M_Meningioma_27,NCIT_C38936,NCIT_C4720,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A WHO grade I meningioma characterized by the presence of prominent chronic inflammatory infiltrates that predominate over the meningioma cells.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,http://purl.obolibrary.org/obo/NCIT_C4720
Who Grade I,Metaplastic,Who_Grade_I,Metaplastic,M_Meningioma_2,M_Meningioma_28,NCIT_C38936,NCIT_C6907,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.","A WHO grade I meningioma characterized by the presence of a prominent mesenchymal component. The mesenchymal component may be osseous, cartilaginous, myxoid, lipomatous, or a mixture of mesenchymal elements.",,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,http://purl.obolibrary.org/obo/NCIT_C6907
Who Grade I,Secretory,Who_Grade_I,Secretory,M_Meningioma_2,M_Meningioma_29,NCIT_C38936,NCIT_C4718,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A WHO grade I meningioma characterized by the presence of epithelial differentiation and numerous intracellular PAS positive bodies that are rich in glycogen.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,http://purl.obolibrary.org/obo/NCIT_C4718
Who Grade I,Micro-cystic,Who_Grade_I,Micro_cystic,M_Meningioma_2,M_Meningioma_30,NCIT_C38936,C41421,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A pathologic process that contains a single or multiple sac-like spaces.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,https://evsexplore.semantics.cancer.gov/evsexplore/search?terminology=ncit&term=Micro-cystic%20lesion&type=contains&fromRecord=0&pageSize=10&source=
Who Grade I,Transitional,Who_Grade_I,Transitional,M_Meningioma_2,M_Meningioma_31,NCIT_C38936,NCIT_C4333,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A WHO grade I meningioma characterized by the coexistence of meningothelial cells and fibrous architectural patterns.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,http://purl.obolibrary.org/obo/NCIT_C4333
Who Grade I,Angiomatous,Who_Grade_I,Angiomatous,M_Meningioma_2,M_Meningioma_32,NCIT_C38936,NCIT_C4332,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A WHO grade I meningioma characterized by the presence of small and medium sized vessels that predominate over the meningioma cells,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,http://purl.obolibrary.org/obo/NCIT_C4332
Who Grade I,Meningothelial,Who_Grade_I,Meningothelial,M_Meningioma_2,M_Meningioma_33,NCIT_C38936,NCIT_C4329,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A WHO grade I meningioma characterized by the presence of tumor cells that form lobules. The tumor cells are generally uniform. Whorls and psammoma bodies are usually not present.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,
Who Grade I,Fibrous,Who_Grade_I,Fibrous,M_Meningioma_2,M_Meningioma_34,NCIT_C38936,NCIT_C4330,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A WHO grade I meningioma characterized by the presence of spindle cells that form bundles in a collagen matrix.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,http://purl.obolibrary.org/obo/NCIT_C4330
Who Grade I,Psammomatous,Who_Grade_I,Psammomatous,M_Meningioma_2,M_Meningioma_35,NCIT_C38936,NCIT_C4331,"A slow-growing, low-grade meningioma with favorable prognosis. This category includes angiomatous meningiomas, fibrous meningiomas, lymphoplasmacyte-rich meningiomas, meningothelial meningiomas, metaplastic meningiomas, microcystic meningiomas, psammomatous meningiomas, secretory meningiomas, and transitional meningiomas. It may recur in a small minority of cases following resection.",A WHO grade I meningioma characterized by the presence of psammoma bodies that predominate over the meningeal cells.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/NCIT_C38936,http://purl.obolibrary.org/obo/NCIT_C4331
Tumor Location,convexity,Tumor_Location,convexity,M_Meningioma_3,M_Meningioma_36,C157120,NCIT_C5292,The anatomic site of the tumor,A meningioma that affects the frontal sulcus.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C157120,http://purl.obolibrary.org/obo/NCIT_C5292
convexity,left convexity,convexity,left_convexity,M_Meningioma_4,M_Meningioma_37,,,,,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,
convexity,right convexity,convexity,right_convexity,M_Meningioma_4,M_Meningioma_38,,,,,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,,
Tumor Location,intraventricular,Tumor_Location,intraventricular,M_Meningioma_3,M_Meningioma_39,C157120,NCIT_C5273,The anatomic site of the tumor.,A meningioma that affects the ventricles of the brain.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C157120,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C5273
Tumor Location,Skull base,Tumor_Location,Skull_base,M_Meningioma_3,M_Meningioma_40,C157120,NCIT_C5272,The anatomic site of the tumor,A meningioma that arises from the skull base.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C157120,https://ontobee.org/ontology/NCIT?iri=http://purl.obolibrary.org/obo/NCIT_C5272
Tumor Location,parasagittal,Tumor_Location,parasagittal,M_Meningioma_3,M_Meningioma_41,C157120,NCIT_C4960,The anatomic site of the tumor,A meningioma that affects the superior sagittal sinus and invades the parasagittal angle.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C157120,http://purl.obolibrary.org/obo/NCIT_C4960
Tumor Location,spinal cord,Tumor_Location,spinal_cord,M_Meningioma_3,M_Meningioma_42,C157120,NCIT_C6935,The anatomic site of the tumor,A meningioma that arises from the spinal cord meninges.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C157120,http://purl.obolibrary.org/obo/NCIT_C6935
Tumor Location,falcine/falx cerebri,Tumor_Location,falcine_falx_cerebri,M_Meningioma_3,M_Meningioma_43,C157120,C5267,The anatomic site of the tumor,A meningioma that affects the falx cerebri.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C157120,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C5267
Tumor Location,optic nerve sheath,Tumor_Location,optic_nerve_sheath,M_Meningioma_3,M_Meningioma_44,C157120,NCIT_C4538,The anatomic site of the tumor.,A meningioma that arises from the sheath of the optic nerve.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C157120,http://purl.obolibrary.org/obo/NCIT_C4538
MRI Features,peri-tumoral edema,MRI_Features,peri_tumoral_edema,M_Meningioma_5,M_Meningioma_45,C16809 AND C73619,C121674,"Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide detailed pictures of internal organs and tissues; A prominent or identifiable aspect, region, or site of interest.",An intracranial edema that develops around a tumor in the meninges or brain.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16809 AND https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C73619,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C121674
MRI Features,initial tumor volume cc,MRI_Features,initial_tumor_volume_cc,M_Meningioma_5,M_Meningioma_46,C16809 AND C73619,C122229,"Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide detailed pictures of internal organs and tissues; A prominent or identifiable aspect, region, or site of interest.",A rate unit equal to the number of micrograms per unit of volume equal to one liter per unit of time equal to one hour.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16809 AND https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C73619,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C122229
MRI Features,Hemorrhage,MRI_Features,Hemorrhage,M_Meningioma_5,M_Meningioma_47,C16809 AND C73619,NCIT_C26791,"Imaging that uses radiofrequency waves and a strong magnetic field rather than x-rays to provide detailed pictures of internal organs and tissues; A prominent or identifiable aspect, region, or site of interest.",The flow of blood from a ruptured blood vessel.,,,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C16809 AND https://evsexplore.semantics.cancer.gov/evsexplore/concept/ncit/C73619,http://purl.obolibrary.org/obo/NCIT_C26791
